repetition1,apk,category,generating_script,true_positive,successful,time,category_precision,category_recall,category_fmeasure,run_precision,run_recall,run_fmeasure
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,32035,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,31980,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,33022,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,FALSE,TRUE,33867,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button3.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,32018,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button4.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,29509,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button5.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,32279,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/LocationLeak1.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,33307,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/LocationLeak2.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,35167,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/LocationLeak3.apk,Callbacks,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_Amandroid_default.xml,TRUE,FALSE,33069,0,0,0,0,0,0
