repetition,apk,generating_script,num_flows,time,total_TP,detected_TP,total_FP,detected_FP,completed,run_time,option_under_investigation,kcontext
1,anupam.acrylic_17.apk,config_Amandroid_default.xml,0,387919.0728,0,0,28,0,1,47133120.57,kcontext,1
1,com.angrydoughnuts.android.alarmclock_15.apk,config_Amandroid_default.xml,6,783081.7274,27,4,215,2,1,47133120.57,kcontext,1
1,com.github.yeriomin.workoutlog_2.apk,config_Amandroid_default.xml,0,723416.2489,0,0,12,0,1,47133120.57,kcontext,1
1,com.gitlab.ardash.appleflinger.android_1005006.apk,config_Amandroid_default.xml,0,47225.39717,0,0,0,0,1,47133120.57,kcontext,1
1,com.miqote.shanawp_10.apk,config_Amandroid_default.xml,0,267207.2014,0,0,0,0,1,47133120.57,kcontext,1
1,com.notriddle.budget_44.apk,config_Amandroid_default.xml,3,385878.6349,2,2,8,1,1,47133120.57,kcontext,1
1,com.nutomic.ensichat_17.apk,config_Amandroid_default.xml,0,7222188.155,0,0,0,0,0,47133120.57,kcontext,1
1,daniel_32.flexiblewallpaper_2.apk,config_Amandroid_default.xml,0,187014.3391,1,0,0,0,1,47133120.57,kcontext,1
1,eu.kanade.tachiyomi_41.apk,config_Amandroid_default.xml,0,7221465.831,1,0,0,0,0,47133120.57,kcontext,1
1,eu.polarclock_10.apk,config_Amandroid_default.xml,0,198260.9859,0,0,0,0,1,47133120.57,kcontext,1
1,io.github.alketii.mightyknight_1.apk,config_Amandroid_default.xml,0,130345.1882,0,0,0,0,1,47133120.57,kcontext,1
1,io.github.lonamiwebs.klooni_820.apk,config_Amandroid_default.xml,0,9404.525202,0,0,0,0,1,47133120.57,kcontext,1
1,jackpal.androidterm_72.apk,config_Amandroid_default.xml,0,1265603.731,1,0,40,0,1,47133120.57,kcontext,1
1,net.khertan.forrunners_101030.apk,config_Amandroid_default.xml,0,143151.456,0,0,0,0,1,47133120.57,kcontext,1
1,net.osmand.plus_355.apk,config_Amandroid_default.xml,0,7339209.331,0,0,5,0,0,47133120.57,kcontext,1
1,net.tedstein.AndroSS_17.apk,config_Amandroid_default.xml,0,615452.7128,4,0,42,0,1,47133120.57,kcontext,1
1,net.zygotelabs.locker_11.apk,config_Amandroid_default.xml,0,166324.7713,0,0,0,0,1,47133120.57,kcontext,1
1,nya.miku.wishmaster_54.apk,config_Amandroid_default.xml,0,7226834.294,3,0,82,0,0,47133120.57,kcontext,1
1,org.dnaq.dialer2_17.apk,config_Amandroid_default.xml,0,962853.6771,10,0,97,0,1,47133120.57,kcontext,1
1,org.dyndns.sven_ola.debian_kit_6.apk,config_Amandroid_default.xml,0,296554.648,2,0,19,0,1,47133120.57,kcontext,1
1,org.jfedor.frozenbubble_54.apk,config_Amandroid_default.xml,0,3989396.173,6,0,42,0,1,47133120.57,kcontext,1
1,org.jsl.wfwt_14.apk,config_Amandroid_default.xml,1,759229.4156,4,0,53,1,1,47133120.57,kcontext,1
1,org.ninthfloor.copperpdf_4.apk,config_Amandroid_default.xml,0,339711.771,0,0,0,0,1,47133120.57,kcontext,1
1,org.tuxpaint_923.apk,config_Amandroid_default.xml,0,766785.949,4,0,0,0,1,47133120.57,kcontext,1
1,org.zamedev.gloomydungeons2.opensource_1602221800.apk,config_Amandroid_default.xml,0,1708663.041,0,0,0,0,1,47133120.57,kcontext,1
1,protect.budgetwatch_29.apk,config_Amandroid_default.xml,0,2070115.934,2,0,23,0,1,47133120.57,kcontext,1
1,pt.isec.tp.am_4.apk,config_Amandroid_default.xml,0,119124.3579,1,0,2,0,1,47133120.57,kcontext,1
1,ru.henridellal.dialer_10.apk,config_Amandroid_default.xml,0,464673.6005,7,0,33,0,1,47133120.57,kcontext,1
1,trikita.talalarmo_19.apk,config_Amandroid_default.xml,1,759457.2756,0,0,0,0,1,47133120.57,kcontext,1
1,uk.co.yahoo.p1rpp.calendartrigger_7.apk,config_Amandroid_default.xml,3,576571.1255,0,0,0,0,1,47133120.57,kcontext,1
2,org.ninthfloor.copperpdf_4.apk,config_Amandroid_default.xml,0,47827.65781,0,0,0,0,1,1544614.707,kcontext,1
2,trikita.talalarmo_19.apk,config_Amandroid_default.xml,0,21106.19624,0,0,0,0,1,1544614.707,kcontext,1
2,net.tedstein.AndroSS_17.apk,config_Amandroid_default.xml,0,21104.25959,4,0,42,0,1,1544614.707,kcontext,1
2,com.github.yeriomin.workoutlog_2.apk,config_Amandroid_default.xml,0,47423.75078,0,0,12,0,1,1544614.707,kcontext,1
2,uk.co.yahoo.p1rpp.calendartrigger_7.apk,config_Amandroid_default.xml,0,47834.85415,0,0,0,0,1,1544614.707,kcontext,1
2,org.jsl.wfwt_14.apk,config_Amandroid_default.xml,0,47841.72576,4,0,53,0,1,1544614.707,kcontext,1
