apk,config,num_flows,time,complete,incomplete
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audible.application.apk,config_FlowDroid_analyzeframeworks.xml,11,1270186.045,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audible.application.apk,config_FlowDroid_aplength1.xml,73,1722572.735,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audible.application.apk,config_FlowDroid_maxcallbackchain1.xml,36,1207481.269,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audible.application.apk,config_FlowDroid_aplength10.xml,39,1325353.674,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audible.application.apk,config_FlowDroid_aplength7.xml,40,1121782.148,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audible.application.apk,config_FlowDroid_cgalgogeom.xml,35,1410371.479,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audiomack.apk,config_FlowDroid_cgalgoauto.xml,5,322024.8301,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audible.application.apk,config_FlowDroid_callbackanalyzerdef.xml,35,1249570.562,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audible.application.apk,config_FlowDroid_codeeliminationpc.xml,38,1224371.543,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audible.application.apk,config_FlowDroid_cgalgocha.xml,54,783647.3525,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audible.application.apk,config_FlowDroid_dataflowsolvercsfs.xml,38,1205944.136,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audiomack.apk,config_FlowDroid_dataflowsolvercsfs.xml,5,311682.1055,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audible.application.apk,config_FlowDroid_enablereflection.xml,44,2688189.099,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audiomack.apk,config_FlowDroid_dataflowsolverfins.xml,6,1006909.008,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audible.application.apk,config_FlowDroid_pathalgocontextsensitive.xml,40,1322718.795,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audible.application.apk,config_FlowDroid_implicitnone.xml,41,1091628.747,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audible.application.apk,config_FlowDroid_maxcallbackchain200.xml,37,1163038.348,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audible.application.apk,config_FlowDroid_aliasalgolazy.xml,0,309754.1697,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audible.application.apk,config_FlowDroid_maxcallbackchain50.xml,40,1215304.265,1,0
/home/asm140830/Documents/benchmarks/google_play/results/flowdroid/repetition_2/single_conf/com.audiomack.apk,config_FlowDroid_aplength1.xml,9,1625670.733,1,0
