apk,category,config,true_positive,successful,time,category_precision,category_recall,category_fmeasure,run_precision,run_recall,run_fmeasure,single_flow,num_flows
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/InactiveActivity.apk,AndroidSpecific,config_FlowDroid_aliasalgofs.xml,FALSE,TRUE,10845,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,0,0
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/Parcel1.apk,AndroidSpecific,config_FlowDroid_aliasalgofs.xml,TRUE,FALSE,15658,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,0,0
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/PrivateDataLeak3.apk,AndroidSpecific,config_FlowDroid_aliasalgofs.xml,TRUE,FALSE,18137,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,0,0
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/PublicAPIField1.apk,AndroidSpecific,config_FlowDroid_aliasalgofs.xml,TRUE,FALSE,21403,1,0.7,0.823529412,0.88172043,0.5125,0.648221344,0,0
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/ArraysAndLists/ArrayAccess4.apk,ArraysAndLists,config_FlowDroid_aliasalgofs.xml,FALSE,TRUE,14747,0.444444444,1,0.615384615,0.88172043,0.5125,0.648221344,0,0
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Button5.apk,Callbacks,config_FlowDroid_aliasalgofs.xml,TRUE,FALSE,20892,0.866666667,0.928571429,0.896551724,0.88172043,0.5125,0.648221344,0,0
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/MultiHandlers1.apk,Callbacks,config_FlowDroid_aliasalgofs.xml,FALSE,TRUE,16784,0.866666667,0.928571429,0.896551724,0.88172043,0.5125,0.648221344,0,0
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/MultiHandlers1.apk,Callbacks,config_FlowDroid_aliasalgofs.xml,FALSE,TRUE,19085,0.866666667,0.928571429,0.896551724,0.88172043,0.5125,0.648221344,0,0
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Callbacks/Ordering1.apk,Callbacks,config_FlowDroid_aliasalgofs.xml,FALSE,TRUE,15328,0.866666667,0.928571429,0.896551724,0.88172043,0.5125,0.648221344,0,0
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/DynamicLoading/DynamicBoth1.apk,DynamicLoading,config_FlowDroid_aliasalgofs.xml,TRUE,FALSE,11532,0,0,0,0.88172043,0.5125,0.648221344,0,0
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/DynamicLoading/DynamicSink1.apk,DynamicLoading,config_FlowDroid_aliasalgofs.xml,TRUE,FALSE,13872,0,0,0,0.88172043,0.5125,0.648221344,0,0
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/DynamicLoading/DynamicSource1.apk,DynamicLoading,config_FlowDroid_aliasalgofs.xml,TRUE,FALSE,11975,0,0,0,0.88172043,0.5125,0.648221344,0,0
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/EmulatorDetection/IMEI1.apk,EmulatorDetection,config_FlowDroid_aliasalgofs.xml,TRUE,FALSE,20180,1,0.933333333,0.965517241,0.88172043,0.5125,0.648221344,0,0
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/FieldAndObjectSensitivity/FieldSensitivity1.apk,FieldAndObjectSensitivity,config_FlowDroid_aliasalgofs.xml,FALSE,TRUE,18970,1,1,1,0.88172043,0.5125,0.648221344,0,0
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/FieldAndObjectSensitivity/FieldSensitivity2.apk,FieldAndObjectSensitivity,config_FlowDroid_aliasalgofs.xml,FALSE,TRUE,16305,1,1,1,0.88172043,0.5125,0.648221344,0,0
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/FieldAndObjectSensitivity/FieldSensitivity4.apk,FieldAndObjectSensitivity,config_FlowDroid_aliasalgofs.xml,FALSE,TRUE,15489,1,1,1,0.88172043,0.5125,0.648221344,0,0
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/FieldAndObjectSensitivity/ObjectSensitivity1.apk,FieldAndObjectSensitivity,config_FlowDroid_aliasalgofs.xml,FALSE,TRUE,22045,1,1,1,0.88172043,0.5125,0.648221344,0,0
