file,num_matches,num_true,num_false,precision
com.github.yeriomin.workoutlog_2.apk_config_FlowDroid_nothischainreduction.xml,0,0,0,0
com.github.yeriomin.workoutlog_2.apk_config_FlowDroid_staticmodecsfs.xml,0,0,0,0
com.github.yeriomin.workoutlog_2.apk_config_FlowDroid_taintwrappereasy.xml,0,0,0,0
com.github.yeriomin.workoutlog_2.apk_config_FlowDroid_singlejoinpointabstraction.xml,0,0,0,0
com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_aplength20.xml,0,0,0,0
com.github.yeriomin.workoutlog_2.apk_config_FlowDroid_pathspecificresults.xml,0,0,0,0
com.github.yeriomin.workoutlog_2.apk_config_FlowDroid_staticmodenone.xml,0,0,0,0
com.github.yeriomin.workoutlog_2.apk_config_FlowDroid_pathalgocontextsensitive.xml,0,0,0,0
com.github.yeriomin.workoutlog_2.apk_config_FlowDroid_taintwrappernone.xml,0,0,0,0
com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_aliasflowins.xml,0,0,0,0
com.github.yeriomin.workoutlog_2.apk_config_FlowDroid_staticmodefins.xml,0,0,0,0
com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_aliasalgonone.xml,0,0,0,0
com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_aplength10.xml,0,0,0,0
com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_aliasalgoptsbased.xml,0,0,0,0
com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_maxcallbackchain0.xml,0,0,0,0
com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_aliasalgofs.xml,0,0,0,0
com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_aliasalgolazy.xml,0,0,0,0
com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_aplength2.xml,0,0,0,0
com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_aplength4.xml,0,0,0,0
com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_cgalgocha.xml,0,0,0,0
com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_analyzeframeworks.xml,0,0,0,0
com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_callbackanalyzerdef.xml,0,0,0,0
com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_onecomponentatatime.xml,0,0,0,0
com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_aplength1.xml,0,0,0,0
com.gitlab.ardash.appleflinger.android_1005006.apk_config_FlowDroid_aplength3.xml,0,0,0,0
