repetition,apk,category,generating_script,true_positive,successful,time,category_precision,category_recall,category_fmeasure,run_precision,run_recall,run_fmeasure
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/UnreachableCode/SimpleUnreachable1.apk,UnreachableCode,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_1.xml,FALSE,TRUE,16633,1,1,1,0.571428571,1,0.727272727
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/UnreachableCode/UnreachableBoth.apk,UnreachableCode,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_1.xml,TRUE,TRUE,27091,1,1,1,0.571428571,1,0.727272727
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/UnreachableCode/UnreachableSink1.apk,UnreachableCode,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_1.xml,TRUE,TRUE,29568,1,1,1,0.571428571,1,0.727272727
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/UnreachableCode/UnreachableSource1.apk,UnreachableCode,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_1.xml,TRUE,TRUE,21075,1,1,1,0.571428571,1,0.727272727
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Aliasing/FlowSensitivity1.apk,Aliasing,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_10.xml,FALSE,FALSE,35428,0.25,1,0.4,0.571428571,1,0.727272727
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Aliasing/Merge1.apk,Aliasing,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_10.xml,FALSE,FALSE,35258,0.25,1,0.4,0.571428571,1,0.727272727
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Aliasing/SimpleAliasing1.apk,Aliasing,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_10.xml,TRUE,TRUE,34955,0.25,1,0.4,0.571428571,1,0.727272727
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Aliasing/StrongUpdate1.apk,Aliasing,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_10.xml,FALSE,FALSE,41505,0.25,1,0.4,0.571428571,1,0.727272727
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/UnreachableCode/SimpleUnreachable1.apk,UnreachableCode,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_10.xml,FALSE,TRUE,22838,1,1,1,0.571428571,1,0.727272727
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/UnreachableCode/UnreachableBoth.apk,UnreachableCode,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_10.xml,TRUE,TRUE,31239,1,1,1,0.571428571,1,0.727272727
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/UnreachableCode/UnreachableSink1.apk,UnreachableCode,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_10.xml,TRUE,TRUE,33345,1,1,1,0.571428571,1,0.727272727
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/UnreachableCode/UnreachableSource1.apk,UnreachableCode,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_10.xml,TRUE,TRUE,34730,1,1,1,0.571428571,1,0.727272727
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Aliasing/FlowSensitivity1.apk,Aliasing,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_100.xml,FALSE,TRUE,22099,0,0,0,0.6,0.75,0.666666667
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Aliasing/Merge1.apk,Aliasing,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_100.xml,FALSE,FALSE,64957,0,0,0,0.6,0.75,0.666666667
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Aliasing/SimpleAliasing1.apk,Aliasing,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_100.xml,TRUE,FALSE,27565,0,0,0,0.6,0.75,0.666666667
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/Aliasing/StrongUpdate1.apk,Aliasing,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_100.xml,FALSE,TRUE,32313,0,0,0,0.6,0.75,0.666666667
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/UnreachableCode/SimpleUnreachable1.apk,UnreachableCode,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_100.xml,FALSE,FALSE,64297,0.75,1,0.857142857,0.6,0.75,0.666666667
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/UnreachableCode/UnreachableBoth.apk,UnreachableCode,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_100.xml,TRUE,TRUE,40833,0.75,1,0.857142857,0.6,0.75,0.666666667
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/UnreachableCode/UnreachableSink1.apk,UnreachableCode,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_100.xml,TRUE,TRUE,43696,0.75,1,0.857142857,0.6,0.75,0.666666667
2,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/UnreachableCode/UnreachableSource1.apk,UnreachableCode,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_100.xml,TRUE,TRUE,50886,0.75,1,0.857142857,0.6,0.75,0.666666667
