file,aliasalgo,aliasflowins,aplength,callbackanalyzer,codeelimination,cgalgo,dataflowsolver,analyzeframeworks,implicit,maxcallbackspercomponent,maxcallbacksdepth,nocallbacks,noexceptions,nothischainreduction,pathalgo,pathspecificresults,onesourceatatime,onecomponentatatime,enablereflection,singlejoinpointabstraction,staticmode,taintwrapper
"config_cgalgorta,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,RTA,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_cgalgospark,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,SPARK,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_cgalgogeom,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,GEOM,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_dataflowsolvercsfs,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,CONTEXTFLOWSENSITIVE,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_dataflowsolverfins,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FLOWINSENSITIVE,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_analyzeframeworks,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,TRUE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_implicitnone,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,NONE,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_implicitarronly,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,ARRAYONLY,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_implicitall,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,ALL,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbacks1,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,1,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbacks50,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,50,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbacks80,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,80,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbacks90,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,90,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbacks100,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,100,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbacks110,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,110,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbacks120,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,120,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbacks150,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,150,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbacks200,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,200,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbacks600,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,600,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbackchain0,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,0,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbackchain1,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,1,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbackchain50,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,50,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbackchain80,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,80,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbackchain90,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,90,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbackchain100,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,100,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbackchain110,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,110,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbackchain120,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,120,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbackchain150,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,150,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbackchain200,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,200,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_maxcallbackchain600,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,600,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_nocallbacks,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,TRUE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_noexceptions,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,TRUE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_nothischainreduction,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,TRUE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_pathalgocontextsensitive,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,CONTEXTSENSITIVE,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
