"","config","time1","time2","time3","tp1","tp2","tp3","fp1","fp2","fp3","completed1","completed2","completed3","time","tp","fp","completed","apicalldepth","kobjsens","pta","analyzestrings_unfiltered","filetransforms","ignoreexceptionflows","ignorenocontextflows","implicitflow","imprecisestrings","limitcontextforcomplex","limitcontextforgui","limitcontextforstrings","multipassfb","noarrayindex","noclinitcontext","noclonestatics","nofallback","nojsa","noscalaropts","nova","preciseinfoflow","transfertaintfield","typesforcontext"
"64","config_DroidSafe_66.xml",146952033.869185,124490620.665189,158374395.166715,17,17,17,122,122,122,18,18,18,146952033.869185,17,122,18,200,4,"spark",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"65","config_DroidSafe_67.xml",50801684.745966,57386414.6443177,48275474.546195,0,0,0,0,0,0,24,24,24,50801684.745966,0,0,24,200,5,"paddle",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"66","config_DroidSafe_68.xml",197524904.811759,199807707.136544,196893068.128763,0,0,0,0,0,0,3,3,3,197524904.811759,0,0,3,200,6,"geo",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"67","config_DroidSafe_69.xml",95684059.8513528,124666844.970123,88737400.9075049,1,1,1,0,0,0,20,20,21,95684059.8513528,1,0,20,200,18,"spark",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"68","config_DroidSafe_7.xml",77650557.566389,75155362.6764612,77430939.106355,0,0,0,0,0,0,20,20,20,77430939.106355,0,0,20,1,1,"geo",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"69","config_DroidSafe_70.xml",48288155.9982407,60024979.0420332,47637638.2186739,0,0,0,0,0,0,24,24,24,48288155.9982407,0,0,24,600,1,"paddle",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"70","config_DroidSafe_71.xml",164125166.347964,200512550.330918,133575063.499602,0,0,0,0,0,0,14,3,18,164125166.347964,0,0,14,600,2,"geo",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"71","config_DroidSafe_72.xml",121137209.288405,163001832.637771,122361152.883749,13,13,13,88,88,88,16,15,16,122361152.883749,13,88,16,600,3,"spark",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"72","config_DroidSafe_73.xml",110793657.146485,126244312.385397,109348476.09735,11,11,11,67,67,67,19,19,18,110793657.146485,11,67,19,600,4,"spark",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"73","config_DroidSafe_74.xml",106862956.202857,97712279.02481,104968183.036414,11,11,11,27,27,27,20,20,20,104968183.036414,11,27,20,600,5,"spark",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"74","config_DroidSafe_75.xml",117265950.633096,107077741.574589,130389927.351002,17,17,17,60,60,60,19,19,18,117265950.633096,17,60,19,600,6,"spark",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"75","config_DroidSafe_76.xml",80916846.4525576,76438304.6909379,82299533.2168339,0,0,0,0,0,0,20,20,20,80916846.4525576,0,0,20,600,18,"geo",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"76","config_DroidSafe_8.xml",110111861.498072,106904682.34693,111021618.153186,6,6,6,41,41,41,16,16,16,110111861.498072,6,41,16,1,2,"spark",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"77","config_DroidSafe_9.xml",44692389.5759289,44749279.4208848,45312314.257426,0,0,0,0,0,0,24,24,24,44749279.4208848,0,0,24,1,3,"paddle",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
