"","FlowDroid","DroidSafe","Amandroid","DidFail","DIALDroid","IccTA"
"128",0.642857143,NA,NA,NA,NA,NA
"129",0.642857143,NA,NA,NA,NA,NA
"130",0.643137255,NA,NA,NA,NA,NA
"131",0.645669291,NA,NA,NA,NA,NA
"132",0.648,NA,NA,NA,NA,NA
"133",0.648221344,NA,NA,NA,NA,NA
"134",0.648221344,NA,NA,NA,NA,NA
"135",0.648221344,NA,NA,NA,NA,NA
"136",0.648221344,NA,NA,NA,NA,NA
"137",0.648221344,NA,NA,NA,NA,NA
"138",0.648221344,NA,NA,NA,NA,NA
"139",0.648221344,NA,NA,NA,NA,NA
"140",0.648221344,NA,NA,NA,NA,NA
"141",0.648221344,NA,NA,NA,NA,NA
"142",0.648221344,NA,NA,NA,NA,NA
"143",0.648221344,NA,NA,NA,NA,NA
"144",0.648221344,NA,NA,NA,NA,NA
"145",0.648221344,NA,NA,NA,NA,NA
"146",0.648221344,NA,NA,NA,NA,NA
"147",0.648221344,NA,NA,NA,NA,NA
"148",0.648221344,NA,NA,NA,NA,NA
"149",0.648221344,NA,NA,NA,NA,NA
"150",0.648221344,NA,NA,NA,NA,NA
"151",0.648221344,NA,NA,NA,NA,NA
"152",0.648221344,NA,NA,NA,NA,NA
"153",0.648221344,NA,NA,NA,NA,NA
"154",0.648221344,NA,NA,NA,NA,NA
"155",0.648221344,NA,NA,NA,NA,NA
"156",0.648221344,NA,NA,NA,NA,NA
"157",0.648221344,NA,NA,NA,NA,NA
"158",0.648221344,NA,NA,NA,NA,NA
"159",0.648221344,NA,NA,NA,NA,NA
"160",0.648221344,NA,NA,NA,NA,NA
"161",0.648221344,NA,NA,NA,NA,NA
"162",0.648221344,NA,NA,NA,NA,NA
"163",0.648221344,NA,NA,NA,NA,NA
"164",0.648221344,NA,NA,NA,NA,NA
"165",0.648221344,NA,NA,NA,NA,NA
"166",0.6484375,NA,NA,NA,NA,NA
"167",0.653543307,NA,NA,NA,NA,NA
"168",0.653543307,NA,NA,NA,NA,NA
"169",0.6640625,NA,NA,NA,NA,NA
"170",0.6640625,NA,NA,NA,NA,NA
"171",0.686346863,NA,NA,NA,NA,NA
