"","config","f1","f2","f3","f-measure","time1","time2","time3","time","completed1","completed2","completed3","completed","aliasalgo","aplength","callbackanalyzer","codeelimination","cgalgo","dataflowsolver","implicit","maxcallbackspercomponent","maxcallbacksdepth","pathalgo","staticmode","taintwrapper","aliasflowins","analyzeframeworks","nocallbacks","noexceptions","nothischainreduction","onesourceatatime","onecomponentatatime","pathspecificresults","enablereflection","singlejoinpointabstraction"
"45","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_36.xml",0.582995951,0.582995951,0.582995951,0.582995951,7135985,6806633,7074017,7074017,198,198,198,198,"NONE",7,"FAST","REMOVECODE","VTA","FLOWINSENSITIVE","ALL",120,80,"CONTEXTINSENSITIVE","CONTEXTFLOWSENSITIVE","NONE",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"46","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_37.xml",0.573770492,0.573770492,0.573770492,0.573770492,6524450,6217274,6434127,6434127,198,198,198,198,"FLOWSENSITIVE",10,"DEFAULT","REMOVECODE","CHA","FLOWINSENSITIVE","NONE",150,80,"CONTEXTINSENSITIVE","CONTEXTFLOWINSENSITIVE","DEFAULT",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"47","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_38.xml",0.40776699,0.40776699,0.40776699,0.40776699,7185938,7001302,7150783,7150783,196,196,196,196,"LAZY",20,"FAST","PROPAGATECONSTS","VTA","CONTEXTFLOWSENSITIVE","ALL",200,80,"SOURCESONLY","NONE","DEFAULTFALLBACK",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"48","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_39.xml",0.649056604,0.649056604,0.649056604,0.649056604,8193036,8233549,8299730,8233549,198,198,198,198,"PTSBASED",1,"DEFAULT","PROPAGATECONSTS","CHA","FLOWINSENSITIVE","NONE",600,80,"CONTEXTINSENSITIVE","CONTEXTFLOWINSENSITIVE","DEFAULTFALLBACK",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"49","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_4.xml",0.515555556,0.515555556,0.515555556,0.515555556,5647341,5498162,5430349,5498162,198,198,198,198,"FLOWSENSITIVE",7,"FAST","NONE","GEOM","CONTEXTFLOWSENSITIVE","NONE",100,0,"CONTEXTINSENSITIVE","NONE","DEFAULT",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"50","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_40.xml",0.209944751,0.209944751,0.209944751,0.209944751,7796525,7597068,7818707,7796525,198,198,198,198,"LAZY",3,"DEFAULT","NONE","GEOM","CONTEXTFLOWSENSITIVE","NONE",1,90,"SOURCESONLY","NONE","NONE",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"51","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_41.xml",0.556016598,0.556016598,0.556016598,0.556016598,4360070,3876827,4394783,4360070,198,198,198,198,"NONE",4,"FAST","REMOVECODE","AUTO","FLOWINSENSITIVE","ARRAYONLY",50,90,"CONTEXTSENSITIVE","CONTEXTFLOWSENSITIVE","EASY",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"52","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_42.xml",0.441314554,0.441314554,0.441314554,0.441314554,4981086,3907584,4488651,4488651,197,198,198,198,"FLOWSENSITIVE",5,"DEFAULT","PROPAGATECONSTS","RTA","CONTEXTFLOWSENSITIVE","ALL",80,90,"CONTEXTINSENSITIVE","CONTEXTFLOWINSENSITIVE","DEFAULT",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"53","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_43.xml",0.549356223,0.549356223,0.549356223,0.549356223,2228397,4925373,4639752,4639752,198,197,198,198,"PTSBASED",7,"FAST","REMOVECODE","SPARK","CONTEXTFLOWSENSITIVE","NONE",90,90,"CONTEXTINSENSITIVE","CONTEXTFLOWSENSITIVE","DEFAULTFALLBACK",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"54","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_44.xml",0.297435897,0.297435897,0.297435897,0.297435897,2980819,4677470,5420927,4677470,197,198,198,198,"LAZY",10,"DEFAULT","NONE","GEOM","FLOWINSENSITIVE","ALL",100,90,"CONTEXTINSENSITIVE","NONE","DEFAULT",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"55","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_45.xml",0.440191388,0.440191388,0.440191388,0.440191388,2146564,4821006,5798201,4821006,198,197,196,197,"NONE",20,"FAST","PROPAGATECONSTS","AUTO","CONTEXTFLOWSENSITIVE","NONE",110,90,"SOURCESONLY","CONTEXTFLOWSENSITIVE","DEFAULT",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"56","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_46.xml",0.32160804,0.32160804,0.32160804,0.32160804,2087849,4145369,4725870,4145369,198,198,198,198,"PTSBASED",1,"DEFAULT","PROPAGATECONSTS","RTA","CONTEXTFLOWSENSITIVE","NONE",120,90,"CONTEXTINSENSITIVE","NONE","EASY",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"57","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_47.xml",0.51754386,0.51754386,0.51754386,0.51754386,2220121,4509510,4854981,4509510,198,198,198,198,"PTSBASED",2,"FAST","PROPAGATECONSTS","SPARK","CONTEXTFLOWSENSITIVE","NONE",150,90,"CONTEXTSENSITIVE","CONTEXTFLOWINSENSITIVE","DEFAULTFALLBACK",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"58","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_48.xml",0.573770492,0.573770492,0.573770492,0.573770492,3499693,8209280,8801036,8209280,198,198,198,198,"FLOWSENSITIVE",3,"FAST","NONE","GEOM","FLOWINSENSITIVE","NONE",200,90,"CONTEXTSENSITIVE","CONTEXTFLOWINSENSITIVE","DEFAULT",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"59","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_49.xml",0.591093117,0.591093117,0.591093117,0.591093117,4357239,9230809,10110150,9230809,195,195,194,195,"NONE",4,"FAST","REMOVECODE","VTA","FLOWINSENSITIVE","ARRAYONLY",600,90,"SOURCESONLY","CONTEXTFLOWSENSITIVE","NONE",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"60","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_5.xml",0.497854077,0.497854077,0.497854077,0.497854077,10392322,10564524,11363304,10564524,190,190,189,190,"PTSBASED",10,"FAST","PROPAGATECONSTS","AUTO","FLOWINSENSITIVE","ARRAYONLY",110,0,"SOURCESONLY","CONTEXTFLOWSENSITIVE","DEFAULTFALLBACK",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"61","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_50.xml",0.429906542,0.429906542,0.429906542,0.429906542,3468797,7050138,7537023,7050138,197,198,198,198,"PTSBASED",5,"DEFAULT","NONE","AUTO","CONTEXTFLOWSENSITIVE","NONE",1,100,"SOURCESONLY","CONTEXTFLOWSENSITIVE","NONE",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"62","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_51.xml",0.573705179,0.568,0.568,0.568,3671971,6669999,6654541,6654541,196,195,195,195,"LAZY",7,"FAST","REMOVECODE","CHA","FLOWINSENSITIVE","ARRAYONLY",50,100,"CONTEXTSENSITIVE","CONTEXTFLOWINSENSITIVE","EASY",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"63","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_52.xml",0.480349345,0.480349345,0.480349345,0.480349345,2076398,4321179,5351002,4321179,198,198,197,198,"NONE",10,"DEFAULT","PROPAGATECONSTS","SPARK","FLOWINSENSITIVE","ALL",80,100,"CONTEXTINSENSITIVE","NONE","DEFAULTFALLBACK",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"64","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_53.xml",0.452830189,0.452830189,0.452830189,0.452830189,3571738,9062140,9320916,9062140,198,197,197,197,"FLOWSENSITIVE",20,"DEFAULT","REMOVECODE","GEOM","CONTEXTFLOWSENSITIVE","ALL",90,100,"CONTEXTINSENSITIVE","CONTEXTFLOWSENSITIVE","EASY",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"65","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_54.xml",0.449541284,0.449541284,0.449541284,0.449541284,3410464,7234334,7375011,7234334,197,198,198,198,"PTSBASED",1,"FAST","PROPAGATECONSTS","RTA","CONTEXTFLOWSENSITIVE","ARRAYONLY",100,100,"CONTEXTINSENSITIVE","CONTEXTFLOWINSENSITIVE","DEFAULT",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"66","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_55.xml",0.462962963,0.462962963,0.462962963,0.462962963,2661838,4917601,4796512,4796512,197,198,198,198,"FLOWSENSITIVE",2,"FAST","NONE","VTA","CONTEXTFLOWSENSITIVE","NONE",110,100,"CONTEXTINSENSITIVE","CONTEXTFLOWINSENSITIVE","DEFAULTFALLBACK",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"67","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_56.xml",0.423076923,0.423076923,0.423076923,0.423076923,2098425,4125900,4647006,4125900,198,198,198,198,"NONE",3,"FAST","PROPAGATECONSTS","AUTO","CONTEXTFLOWSENSITIVE","ARRAYONLY",120,100,"SOURCESONLY","CONTEXTFLOWINSENSITIVE","DEFAULTFALLBACK",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"68","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_57.xml",0.543859649,0.543859649,0.543859649,0.543859649,3775134,8882390,9726796,8882390,197,197,196,197,"FLOWSENSITIVE",4,"DEFAULT","PROPAGATECONSTS","RTA","CONTEXTFLOWSENSITIVE","NONE",150,100,"SOURCESONLY","CONTEXTFLOWINSENSITIVE","EASY",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"69","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_58.xml",0.510638298,0.510638298,0.510638298,0.510638298,3661941,6198998,7434455,6198998,196,196,195,196,"PTSBASED",5,"FAST","NONE","SPARK","FLOWINSENSITIVE","ARRAYONLY",200,100,"SOURCESONLY","NONE","EASY",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"70","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_59.xml",0.331658291,0.331658291,0.331658291,0.331658291,3067084,6531876,6591966,6531876,198,198,198,198,"LAZY",7,"FAST","NONE","GEOM","FLOWINSENSITIVE","ARRAYONLY",600,100,"CONTEXTINSENSITIVE","CONTEXTFLOWINSENSITIVE","EASY",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"71","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_6.xml",0.21978022,0.229508197,0.229508197,0.229508197,5039231,5440871,4343514,5039231,197,196,198,197,"LAZY",20,"DEFAULT","REMOVECODE","CHA","CONTEXTFLOWSENSITIVE","NONE",120,0,"SOURCESONLY","CONTEXTFLOWINSENSITIVE","NONE",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"72","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_60.xml",0.429906542,0.429906542,0.429906542,0.429906542,3979828,6985074,7677652,6985074,195,198,197,197,"PTSBASED",10,"DEFAULT","NONE","VTA","CONTEXTFLOWSENSITIVE","NONE",1,110,"SOURCESONLY","CONTEXTFLOWSENSITIVE","NONE",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"73","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_61.xml",0.554216867,0.548387097,0.554216867,0.554216867,3661625,6822744,6686395,6686395,196,195,195,195,"LAZY",20,"FAST","REMOVECODE","RTA","FLOWINSENSITIVE","ARRAYONLY",50,110,"CONTEXTSENSITIVE","CONTEXTFLOWINSENSITIVE","DEFAULTFALLBACK",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"74","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_62.xml",0.368159204,0.368159204,0.368159204,0.368159204,3571180,7126794,7161569,7126794,197,198,198,198,"NONE",1,"DEFAULT","PROPAGATECONSTS","CHA","CONTEXTFLOWSENSITIVE","ALL",80,110,"CONTEXTINSENSITIVE","NONE","NONE",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"75","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_63.xml",0.580645161,0.580645161,0.580645161,0.580645161,4692497,5146529,4729549,4729549,198,197,198,198,"FLOWSENSITIVE",2,"FAST","NONE","SPARK","FLOWINSENSITIVE","NONE",90,110,"CONTEXTINSENSITIVE","NONE","EASY",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"76","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_64.xml",0.519148936,0.519148936,0.519148936,0.519148936,4746710,4498604,4543382,4543382,197,198,198,198,"LAZY",3,"DEFAULT","PROPAGATECONSTS","AUTO","FLOWINSENSITIVE","ARRAYONLY",100,110,"CONTEXTSENSITIVE","NONE","DEFAULT",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"77","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_65.xml",0.024539877,0.024539877,0.024539877,0.024539877,5794495,6322148,5920120,5920120,198,197,198,198,"LAZY",4,"DEFAULT","NONE","GEOM","FLOWINSENSITIVE","ALL",110,110,"CONTEXTSENSITIVE","CONTEXTFLOWSENSITIVE","DEFAULT",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"78","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_66.xml",0.509090909,0.509090909,0.509090909,0.509090909,4407268,4385720,5238412,4407268,198,198,197,198,"NONE",5,"DEFAULT","NONE","CHA","CONTEXTFLOWSENSITIVE","ALL",120,110,"CONTEXTSENSITIVE","CONTEXTFLOWINSENSITIVE","NONE",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"79","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_67.xml",0.455357143,0.455357143,0.455357143,0.455357143,16015198,15759230,15682844,15759230,180,180,180,180,"LAZY",7,"DEFAULT","REMOVECODE","AUTO","FLOWINSENSITIVE","ARRAYONLY",150,110,"SOURCESONLY","NONE","DEFAULT",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"80","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_68.xml",0.537815126,0.537815126,0.537815126,0.537815126,6676687,6033839,6554130,6554130,198,198,198,198,"FLOWSENSITIVE",10,"FAST","PROPAGATECONSTS","CHA","FLOWINSENSITIVE","NONE",200,110,"CONTEXTINSENSITIVE","CONTEXTFLOWINSENSITIVE","NONE",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"81","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_69.xml",0.588709677,0.588709677,0.588709677,0.588709677,6733092,7187574,6911197,6911197,198,197,198,198,"PTSBASED",20,"DEFAULT","NONE","AUTO","FLOWINSENSITIVE","ARRAYONLY",600,110,"CONTEXTINSENSITIVE","CONTEXTFLOWSENSITIVE","EASY",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"82","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_7.xml",0.568,0.568,0.568,0.568,7128993,6905121,6917931,6917931,198,198,198,198,"NONE",1,"DEFAULT","NONE","VTA","FLOWINSENSITIVE","ARRAYONLY",150,0,"CONTEXTSENSITIVE","NONE","EASY",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"83","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_70.xml",0.433179724,0.433179724,0.433179724,0.433179724,7198245,6455398,6833688,6833688,198,198,198,198,"PTSBASED",1,"DEFAULT","NONE","CHA","CONTEXTFLOWSENSITIVE","NONE",1,120,"SOURCESONLY","CONTEXTFLOWSENSITIVE","DEFAULTFALLBACK",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"84","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_71.xml",0.567901235,0.567901235,0.567901235,0.567901235,4723248,4804727,5230995,4804727,198,197,197,197,"LAZY",2,"FAST","REMOVECODE","VTA","FLOWINSENSITIVE","ARRAYONLY",50,120,"CONTEXTSENSITIVE","CONTEXTFLOWINSENSITIVE","NONE",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
